c,i,id,l1_c,l1_i,language,type,code,l2_sim_cc_5,l2_sim_cc_10,l2_sim_cc_25,l2_sim_cc_50,l2_sim_cc_75,l2_sim_cc_100,l1_sim_cc_5,l1_sim_cc_10,l1_sim_cc_25,l1_sim_cc_50,l1_sim_cc_75,l1_sim_cc_100,l2_sim_wiki_5,l2_sim_wiki_10,l2_sim_wiki_25,l2_sim_wiki_50,l2_sim_wiki_75,l2_sim_wiki_100
plans,projects,person_2799,plans,projectes,Catalan,RN,ca,0.3159140646457672,0.2895716726779938,0.26110583543777466,0.2464462220668793,0.2355959713459015,0.2289222478866577,0.5340597629547119,0.5097456574440002,0.5133014321327211,0.5082491040229797,0.4973651170730591,0.4942753911018372,0.25662362575531006,0.2638554275035858,0.2166944444179535,0.19409605860710144,0.18717151880264282,0.1850736141204834
stars,starts,person_2127,estrelles,comença,Catalan,RN,ca,0.06822684407234192,0.06864172220230103,0.06554262340068817,0.06294573843479156,0.05911505967378616,0.05615207180380821,0.16840633749961853,0.16743043065071106,0.17743822932243347,0.17434877157211304,0.17303571105003354,0.17558661103248596,0.12234334647655487,0.10050490498542786,0.09805943071842194,0.1000889241695404,0.10347535461187363,0.10575374960899353
time,hours,person_2127,temps,hores,Catalan,RN,ca,0.4640174806118012,0.4072752594947815,0.3767932653427124,0.3734127879142761,0.3591424226760864,0.35412973165512085,0.3809322714805603,0.3595188856124878,0.3469277024269104,0.34967464208602905,0.35266020894050604,0.3495131433010101,0.43387648463249207,0.44130080938339233,0.36800819635391235,0.2985771894454956,0.2780742645263672,0.2623310685157776
coming,following,person_2127,venint,següents,Catalan,RJ,ca,0.1835143715143204,0.16606229543685913,0.17509296536445618,0.1703786849975586,0.1652720868587494,0.1614769995212555,0.18213605880737305,0.181614950299263,0.21153151988983154,0.2180192619562149,0.22270143032073972,0.2255189418792725,0.24517759680747986,0.21207579970359802,0.19100414216518402,0.1716412901878357,0.15754714608192444,0.1500544250011444
equipment,material,person_2127,equip,material,Catalan,RN,ca,0.2793424129486084,0.2514062821865082,0.2294180393218994,0.22506223618984225,0.2238284945487976,0.21988852322101596,0.35202643275260925,0.34010523557662964,0.32312971353530884,0.3168612420558929,0.3100280165672302,0.31222331523895264,0.26136884093284607,0.2411012053489685,0.21410953998565674,0.20524786412715912,0.20083877444267273,0.1961210072040558
warmer,hot,person_1687,càlid,calor,Catalan,RJ,ca,0.3468888998031616,0.33996984362602234,0.3629181385040283,0.3460318446159363,0.3427134156227112,0.33550530672073364,0.3990740776062012,0.3976095914840698,0.4039502143859863,0.3903346061706543,0.3862685561180115,0.3809584379196167,0.3099577724933624,0.28943192958831787,0.2887512147426605,0.26671892404556274,0.2719215154647827,0.2681218981742859
sincerely,faithfully,person_2132,sincerament,fidelment,Catalan,RY,ca,0.34077179431915283,0.32544708251953125,0.3217964768409729,0.2979416847229004,0.2894834578037262,0.2768603563308716,0.2751428782939911,0.27590692043304443,0.2895409464836121,0.2899819612503052,0.2891799211502075,0.28911322355270386,0.33496326208114624,0.308074027299881,0.2708606719970703,0.2648465633392334,0.26764702796936035,0.2606129050254822
financial,economical,person_2132,financera,econòmica,Catalan,RJ,ca,0.23791909217834475,0.2291310429573059,0.21435517072677607,0.1908281296491623,0.1920834481716156,0.1845259666442871,0.7152676582336426,0.6903789043426514,0.6701573133468628,0.6359592080116272,0.6231465339660645,0.6085879802703857,0.03576575964689255,0.057397693395614624,0.056257933378219604,0.06515218317508698,0.06887423992156982,0.06742511689662933
independence,freedom,person_2132,independència,llibertat,Catalan,RN,ca,0.4782995581626892,0.4554834365844727,0.4443379640579224,0.4168410003185272,0.4171261787414551,0.3986313343048096,0.498862624168396,0.4831199944019318,0.4603155553340912,0.4495135545730591,0.4342380166053772,0.4305478930473328,0.4029516577720642,0.37227004766464233,0.3528554439544678,0.3275262117385864,0.3112560510635376,0.30856794118881226
do,be,person_2132,fer,ser,Catalan,RV,ca,0.490425705909729,0.4794989228248596,0.4673749208450317,0.41761356592178345,0.4036070704460144,0.3929532766342163,0.489058643579483,0.45850670337677,0.4686210751533508,0.455548107624054,0.44969695806503296,0.4473116397857666,0.28008389472961426,0.23887376487255096,0.26602232456207275,0.27093935012817383,0.2677823603153229,0.2649233639240265
