language,type,i,c,id
Russian,RV,propose,suggest,person_624
Russian,RV,suppose,think,person_624
Russian,RN,people,public,person_624
Russian,RY,faithfully,sincerely,person_624
Russian,RJ,common,familiar,person_624
Russian,RV,make,do,person_624
Turkish,RJ,little,small,person_1562
Turkish,RV,made,had,person_1562
German,RV,tell,give,person_180
German,RJ,harder,stricter,person_180
German,RV,use,wear,person_180
Turkish,RJ,moist,damp,person_2135
Turkish,RJ,insufficient,inadequate,person_2135
Japanese,RN,citizen,people,person_2121
Japanese,RN,cloth,clothing,person_2121
Spanish,RV,announce,said,person_578
Polish,RN,Mr,Ms,person_1549
Polish,RY,specially,especially,person_1549
Polish,RV,would,should,person_1549
Polish,RN,place,part,person_1549
Polish,RV,write,tell,person_1549
Polish,RN,study,course,person_1549
Polish,RV,don't,won't,person_1549
Russian,RV,getting,acquiring,person_342
Russian,RN,dancing,dance,person_342
Russian,RY,faithfully,sincerely,person_342
Russian,RN,man,person,person_342
German,RN,place,space,person_144
German,RV,bring,deliver,person_144
Italian,RV,put,include,person_150
Italian,RN,compositors,composers,person_150
Italian,RV,wear,dress,person_150
Italian,RN,possibility,opportunity,person_226
Italian,RV,love,appreciate,person_226
Italian,RN,possibility,opportunity,person_226
Italian,RN,choice,decision,person_226
Italian,RV,set,organize,person_226
Italian,RJ,right,fine,person_226
Italian,RV,getting,having,person_226
Italian,RY,no,not,person_192
Italian,RV,do,have,person_192
Italian,RN,sons,children,person_192
Italian,RY,faithfully,sincerely,person_192
Italian,RV,supported,suited,person_151
Italian,RN,organization,situation,person_151
Italian,RV,let,make,person_151
Italian,RV,let,cause,person_151
Italian,RN,pubs,bars,person_151
Italian,RJ,small,low,person_151
Catalan,RN,starts,stars,person_2127
Catalan,RJ,short,low,person_2127
Catalan,RN,hours,time,person_2127
Catalan,RJ,following,coming,person_2127
Catalan,RN,material,equipment,person_2127
Russian,RV,speak,talk,person_2251
Russian,RJ,usual,normal,person_2251
Russian,RN,possibility,opportunity,person_1003
Russian,RY,extremely,really,person_1003
Russian,RV,make,have,person_1003
Russian,RY,Then,Also,person_1003
Russian,RY,Then,Also,person_1003
Russian,RV,make,have,person_1003
Russian,RV,stay,wait,person_1003
Russian,RN,territory,premises,person_1003
Korean,RV,wish,hope,person_556
Japanese,RN,points,improvements,person_740
Catalan,RN,thing,way,person_2132
Catalan,RY,faithfully,sincerely,person_2132
Catalan,RJ,economical,financial,person_2132
Catalan,RN,freedom,independence,person_2132
Catalan,RV,be,do,person_2132
Catalan,RY,anyway,however,person_2132
Catalan,RV,achieve,catch,person_2132
Catalan,RV,prepare,organise,person_2132
Catalan,RJ,profitable,useful,person_1349
Catalan,RV,offer,invite,person_1349
Catalan,RV,recommend,ask,person_1349
Catalan,RJ,amazed,thrilled,person_1349
Catalan,RY,faithfully,sincerely,person_1349
Catalan,RY,specially,especially,person_1349
Catalan,RV,should,would,person_1349
Russian,RY,Besides,Also,person_350
Russian,RJ,fantastic,fantastical,person_350
Russian,RJ,fantastic,fantastical,person_350
Turkish,RN,place,room,person_2419
Turkish,RN,attractions,events,person_2419
Turkish,RN,possibilities,opportunities,person_2419
Turkish,RN,patient,patience,person_2419
Turkish,RJ,complicated,difficult,person_519
Turkish,RV,should,would,person_519
Turkish,RV,fell,spoiled,person_519
Turkish,RV,expend,extend,person_519
Turkish,RV,be,cause,person_519
Turkish,RN,trouble,problem,person_519
Russian,RV,make,have,person_257
Russian,RV,could,wanted,person_257
Russian,RV,knew,learned,person_257
Russian,RN,job,work,person_257
Russian,RV,tell,talk,person_257
Italian,RV,make,let,person_531
Italian,RV,know,hear,person_531
Italian,RV,chance,change,person_531
Italian,RY,also,even,person_518
Italian,RN,edition,festival,person_518
