c,i,id,l1_c,l1_i,language,type,code,l2_sim_cc_5,l2_sim_cc_10,l2_sim_cc_25,l2_sim_cc_50,l2_sim_cc_75,l2_sim_cc_100
plans,projects,person_2799,plans,projectes,Catalan,RN,ca,0.3159140646457672,0.2895716726779938,0.26110583543777466,0.24644622206687927,0.2355959713459015,0.22892224788665771
waste,lose,person_2421,malgastar,perdre,Catalan,RV,ca,0.1971191167831421,0.17589223384857178,0.16416317224502563,0.14997021853923798,0.14902564883232117,0.14287534356117249
ending,end,person_1465,final,final,Catalan,RN,ca,0.591592013835907,0.5009773969650269,0.44304218888282776,0.4028881788253784,0.3875984847545624,0.3799772262573242
shot,view,person_1465,disparat,mostra,Catalan,RN,ca,0.21040001511573792,0.18749487400054932,0.18507027626037598,0.1897050142288208,0.16730043292045593,0.16179297864437103
do,join,person_1465,fer,unir,Catalan,RV,ca,0.22547751665115356,0.19497139751911163,0.20145249366760254,0.19756978750228882,0.19257080554962158,0.18941417336463928
shot,view,person_1465,disparat,mostra,Catalan,RN,ca,0.21040001511573792,0.18749487400054932,0.18507027626037598,0.1897050142288208,0.16730043292045593,0.16179297864437103
ask,do,person_1465,preguntar,fer,Catalan,RV,ca,0.43249982595443726,0.42405253648757935,0.40159574151039124,0.3957078456878662,0.3775289058685303,0.3787620961666107
been,done,person_1465,estat,fet,Catalan,RV,ca,0.4349801540374756,0.41187024116516113,0.385986328125,0.3786829113960266,0.36118340492248535,0.35505348443984985
especially,specially,person_2421,especialment,especialment,Catalan,RY,ca,0.34219878911972046,0.33667248487472534,0.2956363558769226,0.2686932384967804,0.2626763582229614,0.2625589668750763
experienced,trained,person_1465,experimentats,entrenat,Catalan,RJ,ca,0.40752723813056946,0.39028310775756836,0.3710111379623413,0.3945541977882385,0.3730620741844177,0.3608925938606262
main,principal,person_1883,principal,director,Catalan,RJ,ca,0.3299005925655365,0.27690067887306213,0.2935260534286499,0.2494003027677536,0.22634342312812805,0.2127441167831421
see,know,person_1883,veure,saber,Catalan,RV,ca,0.6210205554962158,0.5691430568695068,0.534419059753418,0.4976871609687805,0.4785073399543762,0.4648357331752777
would,should,person_1883,vols,hauria,Catalan,RV,ca,0.6448183655738831,0.6456886529922485,0.5800858736038208,0.5456504821777344,0.5286440849304199,0.526125431060791
conduct,make,person_1883,terme,fer,Catalan,RV,ca,0.1540442705154419,0.1490042507648468,0.15146639943122864,0.15643233060836792,0.15643909573554993,0.15288975834846497
faithfully,sincerely,person_1883,fidelment,sincerament,Catalan,RY,ca,0.34077179431915283,0.32544708251953125,0.3217964768409729,0.2979416847229004,0.2894834578037262,0.2768603563308716
tell,inform,person_1883,dir,informar,Catalan,RV,ca,0.42981475591659546,0.4115571975708008,0.406621515750885,0.379605770111084,0.36592957377433777,0.35245996713638306
golf,gold,person_1883,golf,or,Catalan,RN,ca,0.12599578499794006,0.11830528825521469,0.10759700834751129,0.10266164690256119,0.10147729516029358,0.10089974105358124
tent,ten,person_1465,tenda,deu,Catalan,RN,ca,0.08595867455005646,0.0794937014579773,0.07646187394857407,0.06108534336090088,0.05966367945075035,0.05921146273612976
get,take,person_2421,aconseguir,prendre,Catalan,RV,ca,0.43259361386299133,0.47128599882125854,0.4622259736061096,0.4083731770515442,0.38793325424194336,0.3799085319042206
stay,be,person_2767,romandre,ser,Catalan,RV,ca,0.23640266060829163,0.23561282455921173,0.23069137334823608,0.20558762550354004,0.19469532370567322,0.18828821182250977
took,had,person_2767,prenia,havia,Catalan,RV,ca,0.4749283790588379,0.4547375440597534,0.4577765464782715,0.4547697901725769,0.43138450384140015,0.4276643395423889
trip,travel,person_471,viatge,viatges,Catalan,RN,ca,0.4664924144744873,0.4337632656097412,0.4204699695110321,0.3999059200286865,0.410950243473053,0.4100133180618286
give,tell,person_471,donar,dir,Catalan,RV,ca,0.4231981635093689,0.4228300452232361,0.4243116080760956,0.4012559950351715,0.3818535804748535,0.37752366065979004
bored,boring,person_1642,avorrit,avorrit,Catalan,RJ,ca,0.51343834400177,0.5028496980667114,0.45647042989730835,0.4482008218765259,0.4355738162994385,0.42618533968925476
interested,interesting,person_1642,interessat,interessant,Catalan,RJ,ca,0.359252005815506,0.32605600357055664,0.3245919942855835,0.31874293088912964,0.3069360852241516,0.3035929799079895
bored,boring,person_1642,avorrit,avorrit,Catalan,RJ,ca,0.51343834400177,0.5028496980667114,0.45647042989730835,0.4482008218765259,0.4355738162994385,0.42618533968925476
interested,interesting,person_1642,interessat,interessant,Catalan,RJ,ca,0.359252005815506,0.32605600357055664,0.3245919942855835,0.31874293088912964,0.3069360852241516,0.3035929799079895
speak,know,person_1642,parlar,saber,Catalan,RV,ca,0.35512012243270874,0.34050309658050537,0.3288193345069885,0.30666977167129517,0.29231834411621094,0.2900066673755646
time,moment,person_1642,temps,instant,Catalan,RN,ca,0.43818366527557373,0.4414810538291931,0.4164818227291107,0.38129010796546936,0.3702249825000763,0.3601601719856262
stay,live,person_1642,romandre,viure,Catalan,RV,ca,0.2525222897529602,0.23368006944656372,0.22364382445812225,0.21116244792938232,0.19425436854362488,0.18748676776885986
stay,live,person_1642,romandre,viure,Catalan,RV,ca,0.2525222897529602,0.23368006944656372,0.22364382445812225,0.21116244792938232,0.19425436854362488,0.18748676776885986
start,stay,person_1642,començar,romandre,Catalan,RV,ca,0.20617938041687012,0.19448891282081604,0.17558205127716064,0.171253964304924,0.16618958115577698,0.16175371408462524
time,moment,person_1642,temps,instant,Catalan,RN,ca,0.43818366527557373,0.4414810538291931,0.4164818227291107,0.38129010796546936,0.3702249825000763,0.3601601719856262
